# time	energy_highpass
3.920000	2.920983
3.930000	7.020812
3.940000	0.081490
3.950000	14.324248
3.960000	11.677139
3.970000	11.175706
3.980000	13.739281
3.990000	-1.420498
4.000000	4.935042
4.010000	4.637345
4.020000	7.188612
4.030000	-1.262484
4.040000	1.142653
4.050000	3.830210
4.060000	0.964041
4.070000	0.834309
4.080000	6.781039
4.090000	1.415127
4.100000	6.258826
4.110000	6.083006
4.120000	-6.650076
4.130000	-6.036657
4.140000	-7.394207
4.150000	0.600727
4.160000	-5.084867
4.170000	-4.851878
4.180000	7.631870
4.190000	8.669658
4.200000	2.160658
4.210000	4.778495
4.220000	2.376448
4.230000	-1.043377
4.240000	-2.137018
4.250000	-3.642959
4.260000	-0.079449
4.270000	4.519157
4.280000	-4.159319
4.290000	-6.448854
4.300000	2.406625
4.310000	1.129802
4.320000	-1.076335
4.330000	-3.838090
4.340000	8.254959
4.350000	0.289123
4.360000	-3.230508
4.370000	-2.581590
4.380000	-1.590788
4.390000	0.422111
4.400000	-0.734054
4.410000	-2.097582
4.420000	-3.822951
4.430000	-2.298931
4.440000	1.344570
4.450000	-0.188238
4.460000	-1.071474
4.470000	-3.986744
4.480000	-5.785112
4.490000	-1.342768
4.500000	-2.154365
4.510000	1.474816
4.520000	-0.577343
4.530000	-5.828942
4.540000	-8.678453
4.550000	-4.114294
4.560000	-3.758281
4.570000	-7.804209
4.580000	-4.959680
4.590000	-9.470182
4.600000	-3.575540
4.610000	-1.678399
4.620000	0.563354
4.630000	-6.618598
4.640000	-1.451700
4.650000	3.507148
4.660000	-4.580628
4.670000	1.374165
4.680000	6.825608
4.690000	11.997974
4.700000	12.018899
4.710000	17.548816
4.720000	9.594765
4.730000	8.575894
4.740000	9.856389
4.750000	10.354185
4.760000	10.816199
4.770000	7.129657
4.780000	0.493396
4.790000	6.261486
4.800000	-2.927084
4.810000	1.160879
4.820000	-0.756215
4.830000	-2.261545
4.840000	-0.123020
4.850000	-10.823828
4.860000	-2.938279
4.870000	-1.543772
4.880000	3.130876
4.890000	-8.778172
4.900000	-5.709494
4.910000	2.817598
4.920000	1.348345
4.930000	-4.685209
4.940000	-2.554300
4.950000	1.893197
4.960000	-1.565530
4.970000	-3.077079
4.980000	0.842142
4.990000	1.461458
5.000000	-1.262545
5.010000	-3.121776
5.020000	-0.419150
5.030000	-0.421164
5.040000	2.326921
5.050000	-4.163507
5.060000	-0.086835
5.070000	-2.562994
5.080000	1.940024
5.090000	-1.920082
5.100000	-10.604732
5.110000	2.511273
5.120000	3.971079
5.130000	-7.791948
5.140000	2.175313
5.150000	-9.036010
5.160000	-3.963426
5.170000	-7.879437
5.180000	-3.113324
5.190000	5.187752
5.200000	0.954977
5.210000	-0.904503
5.220000	-4.561502
5.230000	-2.313212
5.240000	0.229837
5.250000	-5.084470
5.260000	9.139901
5.270000	6.812930
5.280000	6.977895
5.290000	2.442155
5.300000	11.857945
5.310000	-10.522357
5.320000	-1.910746
5.330000	3.601425
5.340000	0.186845
5.350000	4.998154
5.360000	-3.473314
5.370000	10.150173
5.380000	12.038534
5.390000	2.286666
5.400000	5.889269
5.410000	-0.898314
5.420000	-4.530415
5.430000	-1.363098
5.440000	1.145640
5.450000	0.735603
5.460000	-11.878312
5.470000	-0.625140
5.480000	0.033891
5.490000	-3.618433
5.500000	8.167199
5.510000	6.557554
5.520000	1.809669
5.530000	0.646437
5.540000	0.625911
5.550000	-0.361519
5.560000	-6.709486
5.570000	-1.343611
5.580000	4.228430
5.590000	3.188834
5.600000	-4.031978
5.610000	1.505447
5.620000	0.784883
5.630000	-3.288368
5.640000	-7.147526
5.650000	0.717771
5.660000	0.327506
5.670000	-3.205956
5.680000	-1.242350
5.690000	-2.230277
5.700000	-0.280643
5.710000	1.625308
5.720000	0.123388
5.730000	3.106747
5.740000	-2.714281
5.750000	3.180655
5.760000	2.297179
5.770000	-2.268465
5.780000	-9.461510
5.790000	-11.156723
5.800000	-1.873433
5.810000	1.694881
5.820000	-0.720504
5.830000	0.630609
5.840000	-7.410783
5.850000	1.892763
5.860000	-2.077135
5.870000	-4.106041
5.880000	-2.008009
5.890000	3.519386
5.900000	5.444411
5.910000	9.558677
5.920000	2.611163
5.930000	2.582261
5.940000	-5.001944
5.950000	-0.377744
5.960000	6.844061
5.970000	-1.859061
5.980000	3.549830
5.990000	3.406941
6.000000	3.241358
6.010000	3.800499
6.020000	5.392949
6.030000	4.798176
6.040000	2.855914
6.050000	4.937984
6.060000	-2.166522
6.070000	-4.202578
6.080000	-4.426341
6.090000	-2.467758
6.100000	-2.563415
6.110000	-2.973889
6.120000	10.745455
6.130000	-7.799207
6.140000	-7.094332
6.150000	-3.815278
6.160000	-3.774531
6.170000	-4.762605
6.180000	-12.068139
6.190000	-7.081209
6.200000	0.565152
6.210000	4.584904
6.220000	-1.081439
6.230000	7.225147
6.240000	0.538507
6.250000	-0.119375
6.260000	3.873743
6.270000	13.007574
6.280000	-2.114395
6.290000	5.549248
6.300000	0.452342
6.310000	-8.849515
6.320000	2.344701
6.330000	3.134081
6.340000	-7.592534
6.350000	3.181858
6.360000	-1.766150
6.370000	5.462610
6.380000	7.169079
6.390000	8.164665
6.400000	1.161087
6.410000	-5.233736
6.420000	4.759547
6.430000	5.012968
6.440000	-3.896646
6.450000	0.235877
6.460000	0.556473
6.470000	-2.454917
6.480000	0.349251
6.490000	-2.704780
6.500000	-7.223183
6.510000	-2.634516
6.520000	-6.676414
6.530000	-2.047160
6.540000	-0.809348
6.550000	-3.977662
6.560000	1.767484
6.570000	-3.596276
6.580000	-1.089464
6.590000	4.792789
6.600000	-2.109865
6.610000	-0.206224
6.620000	6.674618
6.630000	-3.745786
6.640000	0.680880
6.650000	-9.836021
6.660000	3.504588
6.670000	5.364615
6.680000	4.675944
6.690000	-0.968859
6.700000	5.236895
6.710000	1.466777
6.720000	10.076094
6.730000	6.598496
6.740000	4.859020
6.750000	2.148760
6.760000	-12.883559
6.770000	-2.521202
6.780000	-9.976061
6.790000	-5.553759
6.800000	1.007209
6.810000	-1.503367
6.820000	0.872089
6.830000	-0.288673
6.840000	-4.867700
6.850000	2.834328
6.860000	-1.572043
6.870000	-1.493519
6.880000	-5.709391
6.890000	3.012210
6.900000	9.550897
6.910000	-3.650794
6.920000	-2.593148
6.930000	7.779860
6.940000	2.870152
6.950000	-1.106147
6.960000	4.376418
6.970000	-0.410164
6.980000	-4.175438
6.990000	-5.067261
7.000000	-1.819931
7.010000	-1.725100
7.020000	6.904910
7.030000	6.126425
7.040000	12.969059
7.050000	-3.366660
7.060000	-6.213657
7.070000	-5.429577
7.080000	3.885097
7.090000	6.771156
7.100000	-3.053814
7.110000	1.036072
7.120000	-0.660772
7.130000	6.820493
7.140000	-4.938047
7.150000	-7.499640
7.160000	-6.675190
7.170000	-1.865301
7.180000	-7.804514
7.190000	-5.455235
7.200000	-6.554799
7.210000	9.646939
7.220000	7.472924
7.230000	3.972180
7.240000	-2.267328
7.250000	-0.237081
7.260000	-4.158536
7.270000	-2.065671
7.280000	-5.130753
7.290000	-0.721627
7.300000	7.166262
7.310000	0.490924
7.320000	-5.427415
7.330000	2.633539
7.340000	2.926159
7.350000	6.054993
7.360000	7.185306
7.370000	7.253614
7.380000	4.088666
7.390000	4.482749
7.400000	-1.733832
7.410000	5.195049
7.420000	-0.369455
7.430000	2.410891
7.440000	-4.711858
7.450000	-6.375669
7.460000	-3.938553
7.470000	-8.759971
7.480000	-2.676631
7.490000	-4.509839
7.500000	-3.759957
7.510000	-8.387338
7.520000	4.733220
7.530000	2.160838
7.540000	5.601413
7.550000	-2.279060
7.560000	-8.694217
7.570000	-2.748016
7.580000	-3.005129
7.590000	-0.168301
7.600000	0.532428
7.610000	-0.933543
7.620000	2.819051
7.630000	0.753225
7.640000	4.119848
7.650000	5.218196
7.660000	5.084546
7.670000	3.435837
7.680000	6.321818
7.690000	5.229680
7.700000	3.809272
7.710000	2.645664
7.720000	7.449920
7.730000	4.471010
7.740000	2.547490
7.750000	-4.300970
7.760000	-0.109507
7.770000	-1.721958
7.780000	6.671220
7.790000	-16.346421
7.800000	-5.111480
7.810000	-0.089734
7.820000	-2.978485
7.830000	0.643931
7.840000	-2.378878
7.850000	0.268886
7.860000	-1.037344
7.870000	-3.938225
7.880000	-3.126546
7.890000	0.254824
7.900000	-0.071970
7.910000	-0.775350
7.920000	-8.541259
7.930000	-0.337034
7.940000	5.754724
7.950000	-3.360752
7.960000	-3.095025
7.970000	2.471624
7.980000	1.006221
7.990000	-4.138171
8.000000	6.662615
8.010000	2.220372
8.020000	-1.143566
8.030000	0.762426
8.040000	-1.485155
8.050000	-1.731991
8.060000	3.104003
8.070000	-3.882894
8.080000	2.689184
8.090000	-5.342813
8.100000	-7.555666
8.110000	-1.217556
8.120000	0.875291
8.130000	2.079305
8.140000	-2.103093
8.150000	2.249279
8.160000	3.365609
8.170000	4.053992
8.180000	0.484647
8.190000	4.841047
8.200000	-0.303112
8.210000	4.374281
8.220000	-0.262903
8.230000	4.406348
8.240000	5.599351
8.250000	0.589422
8.260000	-2.299199
8.270000	2.559596
8.280000	-5.326717
8.290000	-7.102897
8.300000	-4.999802
8.310000	-5.071574
8.320000	1.387764
8.330000	1.439149
8.340000	4.453886
8.350000	4.434432
8.360000	4.794854
8.370000	6.086260
8.380000	9.199638
8.390000	2.095258
8.400000	-0.666084
8.410000	1.264705
8.420000	-1.813212
8.430000	2.733420
8.440000	0.446927
8.450000	0.971925
8.460000	0.817549
8.470000	-2.588352
8.480000	-3.144684
8.490000	-3.844610
8.500000	-3.710177
8.510000	-6.599527
8.520000	-0.875006
8.530000	-6.298016
8.540000	-3.423248
8.550000	-4.733224
8.560000	-7.530390
8.570000	-0.139410
8.580000	4.384667
8.590000	0.597328
8.600000	4.168754
8.610000	-0.614239
8.620000	-0.673729
8.630000	1.995103
8.640000	1.063968
8.650000	-0.603775
8.660000	-0.465605
8.670000	2.484535
8.680000	0.653879
8.690000	-0.007152
8.700000	-1.756218
8.710000	2.875248
8.720000	0.410445
8.730000	-0.381627
8.740000	0.081871
8.750000	-0.523536
8.760000	1.682853
8.770000	0.475035
8.780000	-2.390084
8.790000	1.897181
8.800000	2.355446
8.810000	1.092736
8.820000	-0.034851
8.830000	1.785827
8.840000	-5.157899
8.850000	1.767891
8.860000	-0.827481
8.870000	-1.148607
8.880000	-1.685058
8.890000	0.178670
8.900000	1.001884
8.910000	-2.038272
8.920000	2.604961
8.930000	3.538605
8.940000	1.212225
8.950000	1.381690
8.960000	1.045594
8.970000	-1.042068
8.980000	-0.931922
8.990000	-0.967222
9.000000	0.765020
9.010000	-4.918814
9.020000	-6.590628
9.030000	2.153358
9.040000	1.030038
9.050000	3.427615
9.060000	5.577020
9.070000	-2.551305
9.080000	3.769360
9.090000	-9.069245
9.100000	3.950499
9.110000	2.406883
9.120000	0.741735
9.130000	-3.731203
9.140000	-3.858737
9.150000	3.397983
9.160000	0.876646
9.170000	6.364607
9.180000	3.554627
9.190000	-4.499846
9.200000	-2.114171
9.210000	-2.288393
9.220000	3.898959
9.230000	2.726004
9.240000	-3.984494
9.250000	-2.761272
9.260000	-8.316528
9.270000	-7.635489
9.280000	2.657032
9.290000	4.407534
9.300000	-3.367828
9.310000	6.460798
9.320000	-3.645474
9.330000	-2.132476
9.340000	1.894993
9.350000	1.522215
9.360000	0.507866
9.370000	-0.824034
9.380000	-3.827023
9.390000	1.306761
9.400000	3.219024
9.410000	-3.750634
9.420000	-0.453669
9.430000	0.977633
9.440000	-2.475494
9.450000	3.085183
9.460000	0.293277
9.470000	1.286765
9.480000	9.153089
9.490000	0.051269
9.500000	-0.014384
9.510000	-7.597899
9.520000	-5.391071
9.530000	-5.916652
9.540000	-6.765516
9.550000	3.192282
9.560000	3.688657
9.570000	6.857224
9.580000	1.201847
9.590000	-0.717784
9.600000	1.723300
9.610000	7.851624
9.620000	5.007900
9.630000	9.533936
9.640000	8.397842
9.650000	6.543841
9.660000	10.628052
9.670000	6.090574
9.680000	-1.080197
9.690000	2.018016
9.700000	-4.952774
9.710000	-0.751448
9.720000	-1.291523
9.730000	-0.574869
9.740000	2.619845
9.750000	-2.757505
9.760000	-4.228871
9.770000	-2.876687
9.780000	-4.386937
9.790000	-1.699026
9.800000	-4.276534
9.810000	-9.701215
9.820000	-2.095372
9.830000	-12.278590
9.840000	-4.532787
9.850000	-1.171103
9.860000	-2.366985
9.870000	-3.539099
9.880000	0.717498
9.890000	-5.174673
9.900000	0.208721
9.910000	-1.377947
9.920000	3.614572
9.930000	2.457984
9.940000	3.933252
9.950000	-7.335201
9.960000	2.084041
9.970000	-4.770667
9.980000	0.500373
9.990000	1.402938
10.000000	-3.944275
10.010000	1.652114
10.020000	1.213434
10.030000	-0.171483
10.040000	-0.321511
10.050000	-3.825917
10.060000	-4.116883
10.070000	1.460990
10.080000	-1.872736
10.090000	-4.378994
10.100000	7.692150
10.110000	0.235576
10.120000	9.703425
10.130000	8.687711
10.140000	13.772334
10.150000	9.222311
10.160000	3.701265
10.170000	3.944017
10.180000	0.865944
10.190000	-2.580180
10.200000	-1.582750
10.210000	-3.289280
10.220000	-8.161874
10.230000	0.909522
10.240000	1.657501
10.250000	2.360029
10.260000	3.359496
10.270000	-7.144273
10.280000	-6.688174
10.290000	-5.522250
10.300000	-3.291037
10.310000	-6.106487
10.320000	1.323045
10.330000	-4.317222
10.340000	-1.097747
10.350000	-0.067977
10.360000	-0.763907
10.370000	0.023368
10.380000	-0.272171
10.390000	1.815689
10.400000	1.382800
10.410000	-3.633163
10.420000	-1.333656
10.430000	6.733926
10.440000	-0.765384
10.450000	8.575550
10.460000	1.604311
10.470000	4.193315
10.480000	-0.694445
10.490000	-2.930813
10.500000	5.277226
10.510000	-2.558156
10.520000	1.034139
10.530000	2.070163
10.540000	-2.187396
10.550000	7.613532
10.560000	3.835718
10.570000	-3.939422
10.580000	7.567277
10.590000	-2.058422
10.600000	6.723047
10.610000	2.358491
10.620000	1.053669
10.630000	3.490271
10.640000	-8.744907
10.650000	0.331261
10.660000	1.375757
10.670000	3.093214
10.680000	-2.458474
10.690000	1.715727
10.700000	-2.779366
10.710000	-1.329590
10.720000	-9.360119
10.730000	-4.746336
10.740000	-2.881113
10.750000	-2.009666
10.760000	-6.286732
10.770000	3.952082
10.780000	-4.369573
10.790000	-5.887876
10.800000	-2.662294
10.810000	0.651628
10.820000	2.467428
10.830000	6.247800
10.840000	11.270633
10.850000	6.353575
10.860000	1.180109
10.870000	1.920306
10.880000	1.779334
10.890000	0.292062
10.900000	-3.913019
10.910000	-2.427282
10.920000	-7.151619
10.930000	-6.051213
10.940000	-11.840915
10.950000	-6.324913
10.960000	-0.208787
10.970000	-3.610404
10.980000	-3.289652
10.990000	1.710813
11.000000	-1.545448
11.010000	-3.763512
11.020000	-1.254152
11.030000	-4.214843
11.040000	0.327499
11.050000	-1.015396
11.060000	-8.006488
11.070000	-4.455181
11.080000	1.498486
11.090000	2.756568
11.100000	10.552235
11.110000	7.369142
11.120000	9.305099
11.130000	6.439839
11.140000	3.720923
11.150000	0.241953
11.160000	3.216150
11.170000	10.896937
11.180000	10.252488
11.190000	9.167715
11.200000	3.459028
11.210000	6.163740
11.220000	2.733663
11.230000	6.902519
11.240000	-1.146121
11.250000	4.433040
11.260000	-1.733465
11.270000	-6.861640
11.280000	-4.841248
11.290000	-12.415831
11.300000	-5.916430
11.310000	-12.079315
11.320000	-15.866204
11.330000	-13.144637
11.340000	-9.902828
11.350000	2.647052
11.360000	1.319093
11.370000	-0.229182
11.380000	6.052251
11.390000	0.860841
11.400000	2.826625
11.410000	4.515472
11.420000	0.879293
11.430000	0.589802
11.440000	-2.571599
11.450000	6.965126
11.460000	-0.026060
11.470000	0.985951
11.480000	-1.262199
11.490000	3.251255
11.500000	1.720013
11.510000	0.453805
11.520000	0.883390
11.530000	3.519737
11.540000	-1.390068
11.550000	2.609391
11.560000	3.730534
11.570000	2.437006
11.580000	3.479474
11.590000	6.153684
11.600000	6.169090
11.610000	2.049251
11.620000	2.902852
11.630000	-3.555122
11.640000	-0.747723
11.650000	4.342458
11.660000	4.487091
11.670000	-9.308065
11.680000	-5.477316
11.690000	-1.209187
11.700000	0.656394
11.710000	-4.387093
11.720000	-4.426944
11.730000	-8.877662
11.740000	1.777878
11.750000	-9.383930
11.760000	1.435011
11.770000	-4.554051
11.780000	-7.109879
11.790000	-4.512881
11.800000	0.413104
11.810000	2.644143
11.820000	1.410337
11.830000	-5.653556
11.840000	-0.564821
11.850000	-2.331931
11.860000	6.534493
11.870000	0.978097
11.880000	6.180765
11.890000	2.631475
11.900000	4.072686
11.910000	4.071805
11.920000	0.117575
11.930000	3.716523
11.940000	4.339561
11.950000	0.917265
11.960000	3.429573
11.970000	10.228886
11.980000	0.577963
11.990000	3.592155
12.000000	-0.247772
12.010000	4.455579
12.020000	0.859822
12.030000	-2.046512
12.040000	-6.584026
12.050000	-6.609440
12.060000	-7.520744
12.070000	-6.405302
12.080000	-2.363756
12.090000	-9.082954
12.100000	-0.053520
12.110000	-7.748050
12.120000	-3.277597
12.130000	1.802009
12.140000	5.448376
12.150000	-4.183650
12.160000	1.637602
12.170000	-3.707322
12.180000	4.143374
12.190000	0.685979
12.200000	1.532890
12.210000	2.812391
12.220000	0.718851
12.230000	-1.666628
12.240000	0.114203
12.250000	0.959314
12.260000	6.245378
12.270000	10.314510
12.280000	6.338680
12.290000	9.811650
12.300000	7.668164
12.310000	4.628230
12.320000	-5.012671
12.330000	2.726456
12.340000	4.007153
12.350000	-1.067914
12.360000	-13.095470
12.370000	-2.007719
12.380000	2.597535
12.390000	-4.448315
12.400000	-4.995607
12.410000	-5.733005
12.420000	-8.972621
12.430000	-3.444926
12.440000	-7.916062
12.450000	-3.016595
12.460000	0.136069
12.470000	-4.273143
12.480000	0.102697
12.490000	0.604501
12.500000	-1.601021
12.510000	-2.204917
12.520000	0.306770
12.530000	-0.549967
12.540000	0.836577
12.550000	3.668614
12.560000	5.671731
12.570000	5.429186
12.580000	4.539693
12.590000	4.009762
12.600000	3.037821
12.610000	3.663994
12.620000	2.485741
12.630000	1.159525
12.640000	2.415011
12.650000	-2.392662
12.660000	0.229795
12.670000	0.687437
12.680000	-1.504232
12.690000	1.428046
12.700000	1.503845
12.710000	-3.452278
12.720000	-4.872539
12.730000	-3.437957
12.740000	-4.053291
12.750000	-2.534331
12.760000	0.747186
12.770000	-3.792353
12.780000	-3.957995
12.790000	0.238263
12.800000	0.676903
12.810000	0.683671
12.820000	5.698741
12.830000	5.535622
12.840000	3.180825
12.850000	-1.621321
12.860000	3.457767
12.870000	3.490749
12.880000	2.855727
12.890000	-1.798908
12.900000	2.233131
12.910000	-1.139621
12.920000	1.925674
12.930000	-2.275474
12.940000	0.430139
12.950000	-0.727021
12.960000	-1.350911
12.970000	1.364338
12.980000	-1.191575
12.990000	8.266303
13.000000	4.816397
13.010000	8.953917
13.020000	3.654538
13.030000	2.985620
13.040000	2.169307
