# time	energy_lowpass
19.100000	-44.844326
19.110000	-44.960684
19.120000	-45.073171
19.130000	-45.177830
19.140000	-45.320039
19.150000	-45.490965
19.160000	-45.610741
19.170000	-45.678663
19.180000	-45.727623
19.190000	-45.737777
19.200000	-45.767824
19.210000	-45.821690
19.220000	-45.853802
19.230000	-45.877275
19.240000	-45.896404
19.250000	-45.906499
19.260000	-45.914837
19.270000	-45.921302
19.280000	-45.912424
19.290000	-45.888577
19.300000	-45.856069
19.310000	-45.811976
19.320000	-45.769680
19.330000	-45.730678
19.340000	-45.686338
19.350000	-45.640247
19.360000	-45.586321
19.370000	-45.523625
19.380000	-45.458162
19.390000	-45.388473
19.400000	-45.294666
19.410000	-45.175504
19.420000	-45.039289
19.430000	-44.880519
19.440000	-44.711888
19.450000	-44.533838
19.460000	-44.335098
19.470000	-44.118069
19.480000	-43.893901
19.490000	-43.661967
19.500000	-43.418297
19.510000	-43.165363
19.520000	-42.893312
19.530000	-42.601396
19.540000	-42.296367
19.550000	-41.975843
19.560000	-41.743507
19.570000	-41.610535
19.580000	-41.526555
19.590000	-41.521752
19.600000	-41.538118
19.610000	-41.573271
19.620000	-41.683757
19.630000	-41.859142
19.640000	-42.022398
19.650000	-42.175409
19.660000	-42.349777
19.670000	-42.527725
19.680000	-42.771447
19.690000	-43.086166
19.700000	-43.427332
19.710000	-43.809981
19.720000	-44.166662
19.730000	-44.486743
19.740000	-44.813613
19.750000	-45.127427
19.760000	-45.457988
19.770000	-45.808735
19.780000	-46.147224
19.790000	-46.479529
19.800000	-46.872629
19.810000	-47.327930
19.820000	-47.817145
19.830000	-48.357246
19.840000	-48.900896
19.850000	-49.445024
19.860000	-50.027401
19.870000	-50.637655
19.880000	-51.139652
19.890000	-51.523925
19.900000	-51.847009
19.910000	-52.070629
19.920000	-52.282159
19.930000	-52.484200
19.940000	-52.598442
19.950000	-52.641078
19.960000	-52.696342
19.970000	-52.760276
19.980000	-52.801458
19.990000	-52.838789
20.000000	-52.799376
20.010000	-52.677493
20.020000	-52.523607
20.030000	-52.320052
20.040000	-52.172910
20.050000	-52.096928
20.060000	-52.028400
20.070000	-51.998146
20.080000	-51.955245
20.090000	-51.894828
20.100000	-51.869648
20.110000	-51.869480
20.120000	-51.797702
20.130000	-51.653122
20.140000	-51.475742
20.150000	-51.241403
20.160000	-51.020351
20.170000	-50.817211
20.180000	-50.577003
20.190000	-50.315315
20.200000	-50.061032
20.210000	-49.810796
20.220000	-49.562023
20.230000	-49.321359
20.240000	-49.058808
20.250000	-48.774191
20.260000	-48.488116
20.270000	-48.194486
20.280000	-47.892267
20.290000	-47.583652
20.300000	-47.265037
20.310000	-46.936729
20.320000	-46.605247
20.330000	-46.270528
20.340000	-45.929780
20.350000	-45.584524
20.360000	-45.194916
20.370000	-44.756934
20.380000	-44.290532
20.390000	-43.784355
20.400000	-43.260678
20.410000	-42.720736
20.420000	-42.143221
20.430000	-41.532373
20.440000	-40.916977
20.450000	-40.296490
20.460000	-39.659532
20.470000	-39.012899
20.480000	-38.333660
20.490000	-37.620109
20.500000	-36.889014
20.510000	-36.135001
20.520000	-35.527294
20.530000	-35.084876
20.540000	-34.724564
20.550000	-34.495881
20.560000	-34.305630
20.570000	-34.149984
20.580000	-34.120835
20.590000	-34.201576
20.600000	-34.264403
20.610000	-34.312310
20.620000	-34.398281
20.630000	-34.492836
20.640000	-34.698748
20.650000	-35.024793
20.660000	-35.397320
20.670000	-35.841251
20.680000	-36.247855
20.690000	-36.599883
20.700000	-36.967865
20.710000	-37.319846
20.720000	-37.703625
20.730000	-38.124904
20.740000	-38.531585
20.750000	-38.933507
20.760000	-39.439702
20.770000	-40.052641
20.780000	-40.726330
20.790000	-41.488505
20.800000	-42.262456
20.810000	-43.043307
20.820000	-43.892541
20.830000	-44.793447
20.840000	-45.567988
20.850000	-46.205343
20.860000	-46.777396
20.870000	-47.234623
20.880000	-47.694489
20.890000	-48.160522
20.900000	-48.529428
20.910000	-48.823285
20.920000	-49.148212
20.930000	-49.498887
20.940000	-49.837040
20.950000	-50.186503
20.960000	-50.454401
20.970000	-50.633778
20.980000	-50.788849
20.990000	-50.897279
21.000000	-51.101932
21.010000	-51.422482
21.020000	-51.774405
21.030000	-52.199303
21.040000	-52.628152
21.050000	-53.054751
21.060000	-53.550601
21.070000	-54.102060
21.080000	-54.581211
21.090000	-54.986898
